tenant_id,history_id,member_id,project_id,project_name,project_type,allocation_role,task_title,task_summary,total_logged_hours,skill_tags,completed_at,evidence_confidence,source,synced_at,source_version,embedding_text,embedding_source_hash
00000000-0000-0000-0000-000000000001,EMP-001-PRJ-001-api-endpoint-implementation,EMP-001,PRJ-001,Project Orion (Core Banking),Software/Migration,BE,API endpoint implementation,Build and test REST APIs for core services,49,java|spring-boot|rest-api|microservices|sql|postgresql|legacy-migration|core-banking,2026-06-29T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,API endpoint implementation | Build and test REST APIs for core services | java|spring-boot|rest-api|microservices|sql|postgresql|legacy-migration|core-banking,f3e46ff853880de24c542f28e90a513c99e4c13d97536c56b713a8232ea1903b
00000000-0000-0000-0000-000000000001,EMP-001-PRJ-003-api-endpoint-implementation,EMP-001,PRJ-003,Project Titan (Internal Tools),Software,BE,API endpoint implementation,Build and test REST APIs for core services,46.2,java|spring-boot|rest-api|microservices|sql|postgresql|web-application|product-delivery,2026-07-23T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,API endpoint implementation | Build and test REST APIs for core services | java|spring-boot|rest-api|microservices|sql|postgresql|web-application|product-delivery,acfea7737cf0cefbc749bfb4b3d45df8310e58bd6564b53a4a9903cd94ca624e
00000000-0000-0000-0000-000000000001,EMP-001-PRJ-001-service-integration,EMP-001,PRJ-001,Project Orion (Core Banking),Software/Migration,BE,Service integration,Integrate backend services with downstream systems,42,java|spring-boot|rest-api|microservices|sql|postgresql|legacy-migration|core-banking,2026-08-04T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Service integration | Integrate backend services with downstream systems | java|spring-boot|rest-api|microservices|sql|postgresql|legacy-migration|core-banking,3ae315390716319ab4ac8aafbd335b0bbcd4f670f08a71b134102cbb6098d9b6
00000000-0000-0000-0000-000000000001,EMP-001-PRJ-003-service-integration,EMP-001,PRJ-003,Project Titan (Internal Tools),Software,BE,Service integration,Integrate backend services with downstream systems,39.6,java|spring-boot|rest-api|microservices|sql|postgresql|web-application|product-delivery,2026-07-06T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Service integration | Integrate backend services with downstream systems | java|spring-boot|rest-api|microservices|sql|postgresql|web-application|product-delivery,eefbda8413e23797561d8ea3cc2f3f30971dea7f118b8f6a2878e06985da149b
00000000-0000-0000-0000-000000000001,EMP-001-PRJ-001-bug-fixes-&-code-review,EMP-001,PRJ-001,Project Orion (Core Banking),Software/Migration,BE,Bug fixes & code review,Triage defects and review peer pull requests,28,java|spring-boot|rest-api|microservices|sql|postgresql|legacy-migration|core-banking,2026-08-04T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Bug fixes & code review | Triage defects and review peer pull requests | java|spring-boot|rest-api|microservices|sql|postgresql|legacy-migration|core-banking,086f2a097655dd51eb163a46b6a70859edcd425f18c115a8dbbdb34084d77c03
00000000-0000-0000-0000-000000000001,EMP-001-PRJ-003-bug-fixes-&-code-review,EMP-001,PRJ-003,Project Titan (Internal Tools),Software,BE,Bug fixes & code review,Triage defects and review peer pull requests,26.4,java|spring-boot|rest-api|microservices|sql|postgresql|web-application|product-delivery,2026-07-31T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Bug fixes & code review | Triage defects and review peer pull requests | java|spring-boot|rest-api|microservices|sql|postgresql|web-application|product-delivery,90fdfebc2c02fdd28fe47d0ffb2aca6e078bd93f26427289c20d5d2bbd080084
00000000-0000-0000-0000-000000000001,EMP-001-PRJ-001-database-migration-support,EMP-001,PRJ-001,Project Orion (Core Banking),Software/Migration,BE,Database migration support,Support schema changes and data migration scripts,21,java|spring-boot|rest-api|microservices|sql|postgresql|legacy-migration|core-banking,2026-07-09T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Database migration support | Support schema changes and data migration scripts | java|spring-boot|rest-api|microservices|sql|postgresql|legacy-migration|core-banking,114c6e3d01d648ab7652b71b9559f6b5020164c6cbd98d4b541790555f0c0c71
00000000-0000-0000-0000-000000000001,EMP-001-PRJ-003-database-migration-support,EMP-001,PRJ-003,Project Titan (Internal Tools),Software,BE,Database migration support,Support schema changes and data migration scripts,19.8,java|spring-boot|rest-api|microservices|sql|postgresql|web-application|product-delivery,2026-07-25T17:00:00.000Z,0.75,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Database migration support | Support schema changes and data migration scripts | java|spring-boot|rest-api|microservices|sql|postgresql|web-application|product-delivery,52b5877c8c89acd1dba9eaeffc5ade3a764d010b422590b069d8a4b4796ffd0a
00000000-0000-0000-0000-000000000001,EMP-002-PRJ-002-etl-pipeline-development,EMP-002,PRJ-002,Energent AI (Data Platform),AI/ML Platform,DE,ETL pipeline development,Build batch and streaming data pipelines,44.8,python|spark|etl|data-pipeline|sql|airflow|data-platform|ml-platform,2026-07-28T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,ETL pipeline development | Build batch and streaming data pipelines | python|spark|etl|data-pipeline|sql|airflow|data-platform|ml-platform,cad6e2450c9388cd4b820b13316ca3a93e31131315bded87bbff81cf1c3a3408
00000000-0000-0000-0000-000000000001,EMP-002-PRJ-002-data-quality-checks,EMP-002,PRJ-002,Energent AI (Data Platform),AI/ML Platform,DE,Data quality checks,Validate source data and monitor pipeline SLAs,28,python|spark|etl|data-pipeline|sql|airflow|data-platform|ml-platform,2026-07-26T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Data quality checks | Validate source data and monitor pipeline SLAs | python|spark|etl|data-pipeline|sql|airflow|data-platform|ml-platform,46f1295078b069c11422cc7dc009f22a120f40e8d6495b71f5f9344932ed9c73
